职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
月入8000保洁打扫 免费培训,8000-13000元,"保洁
包住
不加班
长白班
接受无经验",经验不限,学历不限,武汉·武昌,深圳轻喜到家科技有限公司,"民营
         
          10000人以上
         
          在线生活服务（O2O）"
兼职日结，300–330/天，时间自由，做就结钱+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,中山·火炬开发区街道·中山港街道,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
国企园区后台岗 干到退休 有食宿 周末休 8K,7000-10000元,接受小白,经验不限,高中,武汉·洪山·关山,泰盈科技集团股份有限公司武汉分公司,"上市公司
         
          10000人以上
         
          电子商务"
歌尔 月薪7000+免费体检+报销路费,6000-7000元,"社会保险
体检免费
有无线网
月结
月休四天",经验不限,学历不限,潍坊·奎文·新城,众腾人力资源集团有限公司,"上市公司
         
          1000-9999人
         
          人力资源服务"
长白班保洁 男女不限,3000-4000元,"写字楼
节日福利
年终奖金",经验不限,学历不限,北京·通州·马驹桥,北京鼎瑞欣企业管理有限公司,"股份制企业
         
          1000-9999人
         
          专业技术服务"
视频号投流,1-1.5万,"视频号
电商类
教育类
微信豆投流
ADQ投流
运投一体",1-3年,大专,郑州·二七区·淮河路,郑州市千秋图书销售有限公司,"民营
         
          100-299人
         
          互联网"
别往下翻了，无押金+提供车住，七块钱周结最高了，骑手直招,8000-10000元,"食品饮料
按区域配送
公司提供车住",经验不限,学历不限,济南·天桥·北园,济南优外卖电子商务有限公司,"民营
         
          10000人以上
         
          餐饮服务"
急招驻店300一天/提供车住吃/无经验+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,珠海·金湾区·三灶镇,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
护士,5000-6000元,包食宿,1-3年,大专,北京·朝阳·左家庄,北京吉耐馨养老服务有限公司,"20-99人
         
          卫生服务"
精英销售顾问,1-2万,"企业客户
电话销售
面销/陌拜
网络销售",1-3年,大专,深圳·南山·粤海,智联招聘,"其它
         
          1000-9999人
         
          互联网"
不喜欢销售的来【朝九晚六】适合养老,6000-8000元,全白班,经验不限,学历不限,郑州·二七区·京广路,郑州东多泰企业管理咨询有限公司禹州分公司,"300-499人
         
          银行"
区域销售经理,6000-12000元,"电话销售
网络销售
代理商销售",经验不限,大专,广州·番禺·南村,合肥复顿新材料有限公司,"民营
         
          20-99人
         
          化学原料/化学制品"
小学托管老师，教学老师,3000-5000元,"数学
语文
英语
小学教育
学前教育
集体授课
线下授课",无经验,大专,天津·河东·常州道,天津市优翼幼儿园有限公司,"民营
         
          20-99人
         
          学校/学历教育"
广州天河/坐班/面试简单,7000-12000元,"公司提供精准资源
法定节假日放假",经验不限,大专,广州·天河·凤凰,广东方齐人力资源服务有限公司,"民营
         
          100-299人
         
          人力资源服务"
销售工程师,6000-8000元,,3-5年,本科,石家庄·裕华·宋营,河北德旭电气科技有限公司,"上市公司
         
          100-299人
         
          电气机械/电力设备"
C1接送司机0押金入职,8000-11000元,商务司机,3-5年,学历不限,广州·番禺·东环,广州晨琪信息科技有限公司,"20-99人
         
          新能源汽车"
零食水果/350一天/长短期/提供吃住,1-1.1万·13薪,会骑电动车,经验不限,学历不限,重庆·九龙坡·华岩,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
急招两名客服岗，双休五险一金,7000-14000元,"外呼销售经验
普通话标准流利
无销售性质
电话客服
网络客服
售后客服",经验不限,高中,深圳·罗湖·笋岗,上海迪扬信息科技有限公司,"民营
         
          1000-9999人
         
          银行"
,,,,,,,
（内容由AI生成，仅供参考）,,,,,,,
