公司直招网约车车司机，日周结,7000-8000元,"C1驾驶证
C2驾驶证
网络预约出租汽车驾驶员证",经验不限,学历不限,南京·栖霞·燕子矶,南京永皓达汽车科技有限公司,"民营
         
          500-999人
         
          租赁服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公司招聘司管底薪6000 会开车，有驾驶证,6000-10000元,"货运司机
客运司机
公交车司机
C1驾驶证",经验不限,学历不限,武汉·江夏·纸坊,武汉市佰泰汽车租赁服务有限公司,"20-99人
         
          新能源汽车",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
产品检验工程师,6000-9000元·13薪,"电器
家电
纺织
服装
QC
质量",经验不限,本科,荆州·荆州区·郢城镇,广州威标商品检测技术服务有限公司,"民营
         
          100-299人
         
          检测/认证",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
维保监督,面议,电梯设备,5-10年,大专,长春·朝阳,迅达(中国)电梯有限公司,"外商独资
         
          10000人以上
         
          电气机械/电力设备",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1司机保底6000,6000-8000元,三年驾龄,3-5年,学历不限,佛山·南海·大沥,广州晨琪信息科技有限公司,"20-99人
         
          新能源汽车",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高薪急招专车司机公司配车,8000-10000元,"三年驾龄
公司直招公司配车
上下班准时
行政司机
商务司机",3-5年,学历不限,广州·番禺·洛浦,佛山市晨星汽车租赁有限公司,"20人以下
         
          租赁服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邵阳三一焊工 入职五险‼不要证，体检不测听力,1-1.2万,"二氧保护焊工艺
氩弧焊工艺
手工电弧焊工艺",经验不限,学历不限,邵阳·双清区·高崇山镇,湖南乐业人力资源有限公司,"民营
         
          10000人以上
         
          咨询服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生鲜发货商超外送7500,7000-8000元,会骑电动车,经验不限,学历不限,南昌·青山湖·塘山,湖南鑫泰软网络科技有限公司,"500-999人
         
          互联网",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专车商务司机日结500,6000-9000元,C1驾驶证,经验不限,学历不限,深圳·福田·福田街道,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目运营专员,6000-9000元,,经验不限,初中及以下,郑州·中原·沟赵,郑州糖豆网络科技有限公司,"民营
         
          100-299人
         
          游戏",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间自由急招开车司机,6000-9000元,C1证,经验不限,学历不限,广州·海珠·江海,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
制药管培生,100-120元/天,"师带徒
专业培训
提供吃住
长期实习",无经验,大专,重庆·荣昌·昌州,华森制药,"上市公司
         
          1000-9999人
         
          医药制造",已上市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
